Taxon,Multiple sclerosis
Acidaminococcus,0.008460236886632826
Actinomyces,0.014213197969543147
Adlercreutzia,-0.019364161849710983
Agathobacter,-0.028323699421965318
Akkermansia,0.11900130082255021
Anaerofustis,0.014213197969543147
Anaerostipes,-0.03554913294797688
Atopobium,0.008460236886632826
Bacteroides,-0.037204502997760236
Bifidobacterium,0.02030456852791878
Bilophila,0.02030456852791878
Blautia,0.011769509893097815
Butyricicoccus,-0.012138728323699421
Butyricimonas,-0.10780346820809249
Catenibacterium,0.01307913500190722
Clostridium,-0.01411050145242217
Collinsella,-0.019364161849710983
Coprobacillus,-0.019364161849710983
Coprococcus,0.001234803360621265
Desulfotomaculum,-0.028323699421965318
Desulfovibrio,0.02030456852791878
Dialister,-0.019364161849710983
Dorea,0.023908238216797238
Eggerthella,0.047377326565143825
Eubacterium,0.008460236886632826
Faecalibacterium,-0.03922762438504347
Faecalicoccus,0.014213197969543147
Flavobacterium,0.022673434856175973
Fusicatenibacter,-0.012138728323699421
Gemmiger,-0.012138728323699421
Haemophilus,-0.010903924963078158
Lachnospira,-0.05057803468208093
Lactobacillus,-0.019364161849710983
Leyella,0.008460236886632826
Ligilactobacillus,-0.0072254335260115606
Mediterraneibacter,0.008460236886632826
Megamonas,-0.019863462535332492
Megasphaera,0.008460236886632826
Methanobrevibacter,0.10219966159052453
Micromonospora,0.06971235194585448
Mitsuokella,-0.0072254335260115606
Mycoplana,0.022673434856175973
Mycoplasma,-0.019364161849710983
Oscillospira,-0.0016553700497833595
Parabacteroides,-0.01812935848908972
Paraprevotella,-0.017341040462427744
Pedobacter,0.022673434856175973
Peptostreptococcus,-0.017341040462427744
Phascolarctobacterium,0.02030456852791878
Phocaeicola,-0.027088896061344056
Prevotella,-4.3132537190810477e-4
Pseudomonas,0.022673434856175973
Pseudoramibacter,0.008460236886632826
Roseburia,-0.028323699421965318
Ruminococcus,0.001234803360621265
Sarcina,-0.03468208092485549
Segatella,-0.02536017135647428
Sporobacterium,-0.012138728323699421
Streptococcus,0.047377326565143825
Subdoligranulum,-0.012138728323699421
Sutterella,-0.04782478996117094
Turicibacter,0.014213197969543147
Veillonella,0.008460236886632826
Verrucomicrobium,0.048054145516074454
