Taxon,Multiple sclerosis,Systemic lupus erythematosus
Agathobacter,-0.5108256237659907,0.5108256237659907
Akkermansia,0.7884573603642703,0
Anaerostipes,-0.5108256237659907,0.5108256237659907
Bacteroides,0.25131442828090617,-0.25131442828090605
Blautia,0.5108256237659907,0
Butyricimonas,-2.3978952727983707,0
Catenibacterium,0.5108256237659907,0
Clostridium,1.0986122886681098,-1.0986122886681098
Dialister,-1.9459101490553135,0
Dorea,0,0
Eggerthella,0.5108256237659907,-0.5108256237659907
Faecalibacterium,0,0
Lachnospira,-1.0986122886681098,1.0986122886681098
Megamonas,1.0986122886681098,-1.0986122886681098
Methanobrevibacter,2.1972245773362196,0
Parabacteroides,-0.5108256237659907,0
Phocaeicola,0.5877866649021191,-0.587786664902119
Prevotella,0,0
Segatella,0.7621400520468967,-0.7621400520468967
Streptococcus,0.8472978603872037,-0.8472978603872037
Sutterella,0.5108256237659907,-0.5108256237659907
