"","GSM4452207_ctrl1","GSM4452208_ctrl2","GSM4452209_ctrl3","GSM4452210_ctrl4","GSM4452211_k10_1","GSM4452212_k10_2","GSM4452213_k10_3","GSM4452214_k10_4","GSM4452215_k20_1","GSM4452216_k20_2","GSM4452217_k20_3","GSM4452230_30_4","GSM4452218_k20_4","GSM4452229_30_3","GSM4452228_30_2","GSM4452227_30_1","GSM4452226_15_4","GSM4452225_15_3","GSM4452224_15_2","GSM4452223_15_1","GSM4452221_0_3","GSM4452222_0_4","GSM4452219_0_1","GSM4452220_0_2"
"ENSMUSG00000000001.4",7.14192037866462,7.11044343069622,7.04671623746252,7.09864229999122,7.09823717947157,7.14214228254744,7.07491460107622,7.13317778131309,18.9315685693242,5.55811429334026,7.23434463315752,6.53783626115386,7.15626183780377,7.3883436134735,6.51510473216791,7.36573342915782,7.51200533089134,7.1813854806325,7.27966824053522,7.18356484926577,7.01607527325944,7.13669738456563,7.08810635228706,6.97011378730102
"ENSMUSG00000000028.11",4.3592188509906,4.43456138995707,4.347067542849,4.4072545555308,4.54752836682117,4.72651710350125,4.58730899473095,4.60403719086439,18.9315685693242,5.55811429334026,5.74110578241109,-6.9093761404188,5.71252279149883,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000000031.12",10.9835236140684,10.9452402776643,10.9519037822016,10.9640957977813,11.0280536917875,11.0117022723833,10.9486056426676,10.9751654557874,18.9315685693242,9.46500488894878,9.11558018074385,-6.9093761404188,9.07513167752324,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000000037.13",-0.178475740930659,-0.134860259868309,-1.07782713098955,-0.10407591529818,0.378352622752692,0.187828455356775,-0.326749601685307,-0.237886245059797,18.9315685693242,3.9731517926191,0.890083136982835,-6.9093761404188,0.787826704680754,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000000056.7",5.34212440944457,5.21192782414668,5.18972395399504,5.31892777327561,5.2784858521859,5.12975045379176,5.07540486343894,5.26422115115513,18.9315685693242,3.9731517926191,4.58535189962077,3.46457651495139,4.61192230008178,4.23844193499836,3.59488211788092,4.34623902558967,4.14190325596592,5.52367224857552,5.575918490767,5.41331227911111,5.67655714514417,5.68939546981664,5.57616540808102,5.67426845707536
"ENSMUSG00000000058.6",3.41778435112488,3.56346406927078,3.45084623888506,3.66783017075513,3.80053531236737,3.88152659561881,3.6887135157025,3.76544946750346,18.9315685693242,3.9731517926191,5.09013582904159,4.6495228407279,4.95932241399829,5.44238625048126,4.27585366008978,5.43399176006465,6.22491584709271,4.15743025313153,4.25446898106926,3.92359054330323,3.98702390896175,4.15079605395407,3.62595672664586,4.06530699415548
"ENSMUSG00000000078.6",5.87209166572851,5.87348832142215,5.79203420581105,5.86562493771315,5.93523465200973,5.87899035990986,5.79087857370252,5.85871504434255,18.9315685693242,7.14307679406142,6.27519307579068,-6.9093761404188,6.20925904151213,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000000085.13",4.7722039436056,4.74101339657274,4.74469492593472,4.7117581377166,4.55798272445834,4.56339451384621,4.41951373706299,4.56628462132247,18.9315685693242,3.9731517926191,4.69823667242418,-6.9093761404188,4.40157404623115,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000000088.6",5.69305178603486,5.66536172528484,5.70380021912634,5.60415418695017,5.64985928472608,5.80432160630089,5.92008653184324,5.70622023972069,18.9315685693242,5.55811429334026,6.16685677126715,-6.9093761404188,6.15820071439072,-6.50049474667778,-6.8859080832149,-6.65446524342157,-6.77173417208319,-6.51764466725392,-6.56650771155198,-6.80857688236016,-6.54533201632709,-6.4758255984043,-6.55021642246163,-6.67362968752066
"ENSMUSG00000000093.6",-3.5844681006065,-2.45678835475567,-3.23310535646746,-3.3311448238441,-4.7781518629273,-3.27160316328052,-3.59976809609172,-6.57773624794442,18.9315685693242,3.9731517926191,-2.95121911699811,-6.9093761404188,-3.66220621595429,-4.17856665179042,-4.07855316115729,-3.84711032136397,-2.86484357647467,-1.76275716509045,-2.3185801981084,-2.28501492630314,-1.50093789696864,-1.43143147904585,-1.42093340551666,-1.24736493281856
