ENTREZID,SYMBOL,AUC
246735,AY074887,0.845679012345679
78443,A930041C12Rik,0.7962962962962961
100526462,Mir1298,0.7885802469135802
66808,9030624G23Rik,0.7808641975308642
79235,Lrat,0.7793209876543209
100503594,4930534D22Rik,0.7716049382716048
544944,Cbx3-ps5,0.7700617283950616
404545,Ano7,0.7561728395061729
102920,Cenpi,0.7561728395061729
100862070,NA,0.7546296296296295
